SKU,Retailer,Store,Region,Beginning Inventory,Ending Inventory,Reorder Point,Lead Time (days)
SKU-CL-00001,Sam's Club,SAM-01-003,Midwest,711,777,89,12
SKU-CL-00001,Sam's Club,SAM-02-009,South,642,550,56,8
SKU-CL-00001,Sam's Club,SAM-03-008,West,434,399,149,7
SKU-CL-00001,Sam's Club,SAM-01-006,Midwest,905,669,91,6
SKU-CL-00001,Sam's Club,SAM-01-001,Midwest,126,0,20,3
SKU-CL-00001,Sam's Club,SAM-03-006,West,720,853,78,11
SKU-CL-00001,Costco,COST-02-004,South,750,548,166,6
SKU-CL-00001,Costco,COST-02-006,South,457,464,47,14
SKU-CL-00001,Costco,COST-01-002,Midwest,604,548,169,8
SKU-CL-00001,Costco,COST-01-004,Midwest,130,57,54,11
SKU-CL-00001,Costco,COST-02-002,South,799,659,22,8
SKU-CL-00001,Costco,COST-01-001,Midwest,205,62,89,11
SKU-CL-00001,Costco,COST-01-003,Midwest,347,288,20,5
SKU-CL-00001,Costco,COST-03-005,West,211,134,117,9
SKU-CL-00001,Costco,COST-02-003,South,632,624,157,13
SKU-CL-00001,Costco,COST-02-005,South,785,767,112,5
SKU-CL-00001,Costco,COST-03-006,West,566,306,167,13
SKU-CL-00001,Costco,COST-02-001,South,831,615,65,11
SKU-CL-00001,Costco,COST-01-006,Midwest,453,196,28,4
SKU-CL-00001,Costco,COST-01-005,Midwest,529,602,46,7
SKU-CL-00001,Costco,COST-03-003,West,200,357,25,4
SKU-HH-00002,Walmart,WMT-01-012,Midwest,482,304,25,14
SKU-HH-00002,Walmart,WMT-02-012,South,568,719,112,7
SKU-HH-00002,Walmart,WMT-03-014,West,535,388,131,14
SKU-HH-00002,Walmart,WMT-04-003,Northeast,552,605,111,4
SKU-HH-00002,Walmart,WMT-02-001,South,331,329,158,8
SKU-HH-00002,Walmart,WMT-03-001,West,124,211,111,5
SKU-HH-00002,Walmart,WMT-04-001,Northeast,498,451,73,5
SKU-HH-00002,Walmart,WMT-02-005,South,251,255,30,5
SKU-HH-00002,Walmart,WMT-01-010,Midwest,70,0,86,7
SKU-HH-00002,Walmart,WMT-01-015,Midwest,722,735,70,6
SKU-HH-00002,Walmart,WMT-01-003,Midwest,882,657,112,13
SKU-HH-00002,Walmart,WMT-02-013,South,264,397,114,3
SKU-HH-00002,Walmart,WMT-01-006,Midwest,444,618,50,12
SKU-HH-00002,Walmart,WMT-03-012,West,529,539,118,4
SKU-HH-00002,Walmart,WMT-03-005,West,868,672,102,7
SKU-HH-00002,Walmart,WMT-02-014,South,843,775,56,12
SKU-HH-00002,Walmart,WMT-03-011,West,760,843,60,3
SKU-HH-00002,Walmart,WMT-01-005,Midwest,732,731,135,7
SKU-HH-00002,Walmart,WMT-03-003,West,934,1089,54,14
SKU-HH-00002,Walmart,WMT-03-010,West,296,485,65,5
SKU-HH-00002,Walmart,WMT-03-002,West,939,914,103,11
SKU-HH-00002,Walmart,WMT-01-011,Midwest,935,1050,49,10
SKU-HH-00002,Walmart,WMT-02-015,South,513,675,138,7
SKU-HH-00002,Walmart,WMT-03-008,West,787,540,56,10
SKU-HH-00002,Walmart,WMT-04-002,Northeast,112,156,76,5
SKU-HH-00002,Walmart,WMT-02-008,South,204,362,76,4
SKU-HH-00002,Walmart,WMT-01-014,Midwest,410,290,20,14
SKU-HH-00002,Walmart,WMT-01-002,Midwest,153,21,117,7
SKU-HH-00002,Walmart,WMT-02-010,South,791,693,92,7
SKU-HH-00002,Walmart,WMT-01-008,Midwest,430,451,68,10
SKU-HH-00002,Sam's Club,SAM-02-005,South,73,0,162,7
SKU-HH-00002,Sam's Club,SAM-02-001,South,863,930,144,9
SKU-HH-00002,Sam's Club,SAM-03-006,West,72,21,135,5
SKU-HH-00002,Sam's Club,SAM-03-005,West,613,714,162,5
SKU-HH-00002,Sam's Club,SAM-02-006,South,234,274,67,6
SKU-HH-00002,Sam's Club,SAM-02-004,South,416,253,58,3
SKU-HH-00002,Sam's Club,SAM-01-008,Midwest,340,340,43,12
SKU-HH-00002,Sam's Club,SAM-01-002,Midwest,344,193,50,5
SKU-HH-00002,Sam's Club,SAM-01-010,Midwest,878,737,70,9
SKU-HH-00002,Sam's Club,SAM-01-001,Midwest,434,519,84,4
SKU-HH-00002,Sam's Club,SAM-02-010,South,845,901,76,13
SKU-HH-00002,Sam's Club,SAM-03-003,West,851,786,133,10
SKU-HH-00002,Sam's Club,SAM-01-006,Midwest,356,389,55,11
SKU-HH-00002,Sam's Club,SAM-01-004,Midwest,510,458,92,4
SKU-HH-00002,Sam's Club,SAM-03-001,West,95,0,167,4
SKU-HH-00002,Sam's Club,SAM-01-003,Midwest,200,97,27,7
SKU-HH-00002,Sam's Club,SAM-02-008,South,569,503,144,7
SKU-HH-00002,Sam's Club,SAM-01-009,Midwest,384,483,128,12
SKU-HH-00002,Sam's Club,SAM-01-005,Midwest,106,193,160,3
SKU-HH-00002,Sam's Club,SAM-02-007,South,479,395,169,4
SKU-HH-00002,Costco,COST-02-004,South,356,175,100,12
SKU-HH-00002,Costco,COST-01-005,Midwest,173,345,38,9
SKU-HH-00002,Costco,COST-01-002,Midwest,846,650,150,5
SKU-HH-00002,Costco,COST-03-003,West,402,523,27,7
SKU-HH-00002,Costco,COST-01-006,Midwest,101,240,158,3
SKU-HH-00002,Costco,COST-03-004,West,622,821,167,10
SKU-HH-00002,Costco,COST-01-001,Midwest,401,418,104,8
SKU-HH-00002,Costco,COST-02-002,South,747,497,166,9
SKU-HH-00002,Costco,COST-03-006,West,429,394,35,14
SKU-HH-00002,Costco,COST-01-003,Midwest,717,583,83,3
SKU-HH-00002,Costco,COST-02-003,South,625,430,122,11
SKU-HH-00002,Costco,COST-02-001,South,600,485,57,11
SKU-HH-00002,Costco,COST-03-005,West,812,732,35,5
SKU-HH-00002,Costco,COST-01-004,Midwest,418,552,72,9
SKU-HH-00002,Costco,COST-02-006,South,349,112,88,11
SKU-HH-00003,Walmart,WMT-03-009,West,816,872,119,12
SKU-HH-00003,Walmart,WMT-01-015,Midwest,491,602,98,8
SKU-HH-00003,Walmart,WMT-01-006,Midwest,353,217,93,3
SKU-HH-00003,Walmart,WMT-01-008,Midwest,388,335,50,10
SKU-HH-00003,Walmart,WMT-02-002,South,910,996,80,13
SKU-HH-00003,Walmart,WMT-04-002,Northeast,510,694,163,13
SKU-HH-00003,Walmart,WMT-02-009,South,170,121,104,11
SKU-HH-00003,Walmart,WMT-03-014,West,465,341,48,4
SKU-HH-00003,Walmart,WMT-02-014,South,65,182,99,13
SKU-HH-00003,Walmart,WMT-04-003,Northeast,913,911,70,14
SKU-HH-00003,Walmart,WMT-01-011,Midwest,695,493,137,14
SKU-HH-00003,Walmart,WMT-01-004,Midwest,743,816,28,9
SKU-HH-00003,Walmart,WMT-02-001,South,920,1060,98,4
SKU-HH-00003,Walmart,WMT-03-004,West,649,565,52,10
SKU-HH-00003,Walmart,WMT-03-010,West,658,482,163,13
SKU-HH-00003,Walmart,WMT-01-010,Midwest,923,740,32,3
SKU-HH-00003,Walmart,WMT-01-001,Midwest,238,365,58,13
SKU-HH-00003,Walmart,WMT-02-011,South,804,715,60,12
SKU-HH-00003,Walmart,WMT-03-008,West,727,546,122,12
SKU-HH-00003,Walmart,WMT-01-012,Midwest,934,968,93,4
SKU-HH-00003,Walmart,WMT-01-009,Midwest,550,468,29,12
SKU-HH-00003,Walmart,WMT-03-013,West,174,0,45,12
SKU-HH-00003,Walmart,WMT-01-002,Midwest,903,645,67,12
SKU-HH-00003,Walmart,WMT-02-012,South,484,210,54,6
SKU-HH-00003,Walmart,WMT-02-005,South,721,657,167,6
SKU-HH-00003,Walmart,WMT-02-013,South,844,1044,163,6
SKU-HH-00003,Walmart,WMT-03-006,West,458,252,70,4
SKU-HH-00003,Walmart,WMT-01-007,Midwest,822,616,156,11
SKU-HH-00003,Walmart,WMT-03-015,West,307,309,124,7
SKU-HH-00003,Walmart,WMT-02-006,South,194,27,87,4
SKU-HH-00003,Sam's Club,SAM-03-003,West,622,527,37,4
SKU-HH-00003,Sam's Club,SAM-01-001,Midwest,274,401,57,14
SKU-HH-00003,Sam's Club,SAM-01-003,Midwest,647,534,78,7
SKU-HH-00003,Sam's Club,SAM-03-001,West,53,6,169,4
SKU-HH-00003,Sam's Club,SAM-02-007,South,275,104,70,14
SKU-HH-00003,Sam's Club,SAM-02-006,South,844,740,123,11
SKU-HH-00003,Sam's Club,SAM-02-003,South,860,830,32,14
SKU-HH-00003,Sam's Club,SAM-01-010,Midwest,364,333,28,4
SKU-HH-00003,Sam's Club,SAM-03-004,West,595,349,164,8
SKU-HH-00003,Sam's Club,SAM-02-004,South,266,127,56,9
SKU-HH-00003,Sam's Club,SAM-01-005,Midwest,694,773,33,8
SKU-HH-00003,Sam's Club,SAM-01-007,Midwest,713,652,49,10
SKU-HH-00003,Sam's Club,SAM-02-008,South,228,321,50,9
SKU-HH-00003,Sam's Club,SAM-02-009,South,314,438,133,7
SKU-HH-00003,Sam's Club,SAM-02-010,South,870,918,45,8
SKU-HH-00003,Sam's Club,SAM-03-007,West,240,400,158,7
SKU-HH-00003,Sam's Club,SAM-03-006,West,516,621,117,9
SKU-HH-00003,Sam's Club,SAM-01-002,Midwest,931,771,73,5
SKU-HH-00003,Sam's Club,SAM-03-005,West,191,281,51,3
SKU-HH-00003,Sam's Club,SAM-03-002,West,679,690,68,11
SKU-CL-00004,Walmart,WMT-03-004,West,490,630,30,9
SKU-CL-00004,Walmart,WMT-01-005,Midwest,771,612,102,6
SKU-CL-00004,Walmart,WMT-03-001,West,566,559,53,10
SKU-CL-00004,Walmart,WMT-03-011,West,950,821,161,13
SKU-CL-00004,Walmart,WMT-02-004,South,656,456,154,6
SKU-CL-00004,Walmart,WMT-02-008,South,399,252,132,4
SKU-CL-00004,Walmart,WMT-02-006,South,580,517,159,9
SKU-CL-00004,Walmart,WMT-03-013,West,313,262,105,14
SKU-CL-00004,Walmart,WMT-02-010,South,153,132,170,14
SKU-CL-00004,Walmart,WMT-01-012,Midwest,261,291,40,5
SKU-CL-00004,Walmart,WMT-03-009,West,630,475,156,9
SKU-CL-00004,Walmart,WMT-02-002,South,858,860,52,10
SKU-CL-00004,Walmart,WMT-02-009,South,930,803,158,12
SKU-CL-00004,Walmart,WMT-01-007,Midwest,671,438,123,4
SKU-CL-00004,Walmart,WMT-03-015,West,633,393,80,3
SKU-CL-00004,Walmart,WMT-01-015,Midwest,493,222,111,3
SKU-CL-00004,Walmart,WMT-01-008,Midwest,645,723,30,4
SKU-CL-00004,Walmart,WMT-03-006,West,811,700,52,13
SKU-CL-00004,Walmart,WMT-03-014,West,438,502,138,11
SKU-CL-00004,Walmart,WMT-03-012,West,552,562,130,8
SKU-CL-00004,Walmart,WMT-02-012,South,799,721,57,4
SKU-CL-00004,Walmart,WMT-01-013,Midwest,927,737,90,3
SKU-CL-00004,Walmart,WMT-03-005,West,263,431,166,6
SKU-CL-00004,Walmart,WMT-02-011,South,639,693,32,8
SKU-CL-00004,Walmart,WMT-01-002,Midwest,415,417,133,8
SKU-CL-00004,Walmart,WMT-01-014,Midwest,630,813,31,14
SKU-CL-00004,Walmart,WMT-02-001,South,154,0,129,11
SKU-CL-00004,Walmart,WMT-03-003,West,416,250,75,14
SKU-CL-00004,Walmart,WMT-04-001,Northeast,120,180,163,11
SKU-CL-00004,Walmart,WMT-01-009,Midwest,243,0,135,7
SKU-CL-00004,Sam's Club,SAM-01-007,Midwest,841,970,140,12
SKU-CL-00004,Sam's Club,SAM-03-008,West,735,885,104,13
SKU-CL-00004,Sam's Club,SAM-02-010,South,183,147,100,6
SKU-CL-00004,Sam's Club,SAM-01-006,Midwest,431,598,55,8
SKU-CL-00004,Sam's Club,SAM-02-004,South,492,223,105,13
SKU-CL-00004,Sam's Club,SAM-01-005,Midwest,270,222,157,6
SKU-CL-00004,Sam's Club,SAM-03-003,West,261,259,97,14
SKU-CL-00004,Sam's Club,SAM-02-009,South,596,709,41,8
SKU-CL-00004,Sam's Club,SAM-01-002,Midwest,342,278,73,4
SKU-CL-00004,Sam's Club,SAM-02-005,South,224,296,59,13
SKU-CL-00004,Sam's Club,SAM-01-009,Midwest,523,578,148,6
SKU-CL-00004,Sam's Club,SAM-01-004,Midwest,597,643,32,11
SKU-CL-00004,Sam's Club,SAM-03-007,West,187,353,124,11
SKU-CL-00004,Sam's Club,SAM-02-001,South,605,326,145,6
SKU-CL-00004,Sam's Club,SAM-03-005,West,461,271,67,8
SKU-CL-00004,Sam's Club,SAM-02-007,South,128,0,147,14
SKU-CL-00004,Sam's Club,SAM-01-003,Midwest,461,453,75,13
SKU-CL-00004,Sam's Club,SAM-01-008,Midwest,462,436,137,5
SKU-CL-00004,Sam's Club,SAM-03-001,West,736,906,84,14
SKU-CL-00004,Sam's Club,SAM-01-001,Midwest,159,217,22,11
SKU-CL-00004,Costco,COST-03-001,West,98,0,71,7
SKU-CL-00004,Costco,COST-03-006,West,938,991,74,11
SKU-CL-00004,Costco,COST-02-001,South,858,617,111,7
SKU-CL-00004,Costco,COST-01-004,Midwest,545,287,62,12
SKU-CL-00004,Costco,COST-02-002,South,621,599,98,13
SKU-CL-00004,Costco,COST-02-005,South,750,534,60,14
SKU-CL-00004,Costco,COST-03-004,West,331,151,70,5
SKU-CL-00004,Costco,COST-03-003,West,563,651,119,5
SKU-CL-00004,Costco,COST-03-002,West,456,291,97,5
SKU-CL-00004,Costco,COST-01-001,Midwest,588,407,63,5
SKU-CL-00004,Costco,COST-02-006,South,165,75,37,12
SKU-CL-00004,Costco,COST-01-003,Midwest,642,686,43,6
SKU-CL-00004,Costco,COST-02-003,South,902,1089,58,11
SKU-CL-00004,Costco,COST-03-005,West,869,1044,87,8
SKU-CL-00004,Costco,COST-02-004,South,896,645,158,7
SKU-PF-00005,Walmart,WMT-03-003,West,82,0,123,8
SKU-PF-00005,Walmart,WMT-03-015,West,539,358,125,12
SKU-PF-00005,Walmart,WMT-01-014,Midwest,785,879,107,7
SKU-PF-00005,Walmart,WMT-01-006,Midwest,267,223,51,12
SKU-PF-00005,Walmart,WMT-03-006,West,383,241,63,5
SKU-PF-00005,Walmart,WMT-01-015,Midwest,176,0,77,12
SKU-PF-00005,Walmart,WMT-02-005,South,917,1044,69,11
SKU-PF-00005,Walmart,WMT-03-013,West,518,527,62,6
SKU-PF-00005,Walmart,WMT-01-012,Midwest,866,1037,58,6
SKU-PF-00005,Walmart,WMT-01-005,Midwest,809,1007,30,12
SKU-PF-00005,Walmart,WMT-01-001,Midwest,877,610,109,6
SKU-PF-00005,Walmart,WMT-03-012,West,367,289,52,14
SKU-PF-00005,Walmart,WMT-01-002,Midwest,364,524,39,6
SKU-PF-00005,Walmart,WMT-02-010,South,568,677,128,14
SKU-PF-00005,Walmart,WMT-03-010,West,665,700,27,4
SKU-PF-00005,Walmart,WMT-02-015,South,414,362,22,12
SKU-PF-00005,Walmart,WMT-01-008,Midwest,106,0,161,10
SKU-PF-00005,Walmart,WMT-01-013,Midwest,761,861,62,7
SKU-PF-00005,Walmart,WMT-02-009,South,297,145,111,3
SKU-PF-00005,Walmart,WMT-02-011,South,763,540,28,9
SKU-PF-00005,Walmart,WMT-03-002,West,314,435,66,4
SKU-PF-00005,Walmart,WMT-02-001,South,405,275,145,4
SKU-PF-00005,Walmart,WMT-02-013,South,350,283,142,6
SKU-PF-00005,Walmart,WMT-02-004,South,624,534,150,5
SKU-PF-00005,Walmart,WMT-03-014,West,500,680,89,4
SKU-PF-00005,Walmart,WMT-02-003,South,606,806,24,11
SKU-PF-00005,Walmart,WMT-04-001,Northeast,665,604,81,9
SKU-PF-00005,Walmart,WMT-02-002,South,339,148,75,14
SKU-PF-00005,Walmart,WMT-01-011,Midwest,625,768,67,8
SKU-PF-00005,Walmart,WMT-03-008,West,540,516,68,14
SKU-PF-00005,Sam's Club,SAM-02-003,South,200,0,23,5
SKU-PF-00005,Sam's Club,SAM-02-010,South,928,892,159,6
SKU-PF-00005,Sam's Club,SAM-01-009,Midwest,693,542,137,3
SKU-PF-00005,Sam's Club,SAM-02-009,South,265,0,81,11
SKU-PF-00005,Sam's Club,SAM-02-008,South,648,501,144,9
SKU-PF-00005,Sam's Club,SAM-02-001,South,380,422,41,12
SKU-PF-00005,Sam's Club,SAM-03-006,West,343,507,142,12
SKU-PF-00005,Sam's Club,SAM-02-006,South,99,219,51,13
SKU-PF-00005,Sam's Club,SAM-01-004,Midwest,542,724,135,12
SKU-PF-00005,Sam's Club,SAM-02-002,South,568,579,157,14
SKU-PF-00005,Sam's Club,SAM-02-007,South,480,491,62,14
SKU-PF-00005,Sam's Club,SAM-03-004,West,796,679,162,8
SKU-PF-00005,Sam's Club,SAM-03-005,West,713,516,21,14
SKU-PF-00005,Sam's Club,SAM-03-002,West,870,944,143,13
SKU-PF-00005,Sam's Club,SAM-03-008,West,337,417,111,8
SKU-PF-00005,Sam's Club,SAM-01-005,Midwest,259,294,54,3
SKU-PF-00005,Sam's Club,SAM-02-005,South,363,302,122,10
SKU-PF-00005,Sam's Club,SAM-03-001,West,61,83,52,9
SKU-PF-00005,Sam's Club,SAM-01-001,Midwest,231,223,36,13
SKU-PF-00005,Sam's Club,SAM-01-010,Midwest,461,591,89,5
SKU-PC-00006,Walmart,WMT-02-007,South,233,93,73,10
SKU-PC-00006,Walmart,WMT-03-004,West,751,481,81,8
SKU-PC-00006,Walmart,WMT-03-006,West,484,388,110,13
SKU-PC-00006,Walmart,WMT-02-011,South,521,576,155,12
SKU-PC-00006,Walmart,WMT-02-014,South,856,712,97,5
SKU-PC-00006,Walmart,WMT-02-001,South,734,611,57,10
SKU-PC-00006,Walmart,WMT-04-001,Northeast,909,760,133,8
SKU-PC-00006,Walmart,WMT-01-006,Midwest,478,199,23,14
SKU-PC-00006,Walmart,WMT-02-004,South,343,387,164,5
SKU-PC-00006,Walmart,WMT-03-005,West,356,371,23,11
SKU-PC-00006,Walmart,WMT-03-014,West,468,550,123,9
SKU-PC-00006,Walmart,WMT-02-005,South,586,683,58,8
SKU-PC-00006,Walmart,WMT-01-002,Midwest,286,321,79,7
SKU-PC-00006,Walmart,WMT-03-011,West,500,268,37,6
SKU-PC-00006,Walmart,WMT-01-003,Midwest,54,168,91,12
SKU-PC-00006,Walmart,WMT-03-015,West,163,357,95,4
SKU-PC-00006,Walmart,WMT-02-008,South,276,365,138,5
SKU-PC-00006,Walmart,WMT-01-012,Midwest,923,661,106,13
SKU-PC-00006,Walmart,WMT-03-012,West,473,452,105,13
SKU-PC-00006,Walmart,WMT-02-009,South,519,619,153,11
SKU-PC-00006,Walmart,WMT-01-001,Midwest,602,626,154,8
SKU-PC-00006,Walmart,WMT-03-013,West,312,315,32,13
SKU-PC-00006,Walmart,WMT-01-011,Midwest,485,396,106,14
SKU-PC-00006,Walmart,WMT-01-013,Midwest,426,568,82,11
SKU-PC-00006,Walmart,WMT-03-010,West,704,775,153,6
SKU-PC-00006,Walmart,WMT-01-007,Midwest,930,671,38,8
SKU-PC-00006,Walmart,WMT-01-008,Midwest,531,504,62,14
SKU-PC-00006,Walmart,WMT-03-007,West,845,869,156,5
SKU-PC-00006,Walmart,WMT-01-010,Midwest,198,0,169,9
SKU-PC-00006,Walmart,WMT-03-002,West,414,567,82,11
SKU-PC-00006,Sam's Club,SAM-02-003,South,837,889,167,6
SKU-PC-00006,Sam's Club,SAM-02-010,South,91,72,44,5
SKU-PC-00006,Sam's Club,SAM-03-002,West,496,599,40,11
SKU-PC-00006,Sam's Club,SAM-03-007,West,650,427,120,13
SKU-PC-00006,Sam's Club,SAM-01-005,Midwest,721,709,124,14
SKU-PC-00006,Sam's Club,SAM-01-009,Midwest,607,490,65,13
SKU-PC-00006,Sam's Club,SAM-02-008,South,822,833,23,9
SKU-PC-00006,Sam's Club,SAM-01-010,Midwest,670,785,56,5
SKU-PC-00006,Sam's Club,SAM-02-005,South,476,571,163,4
SKU-PC-00006,Sam's Club,SAM-03-005,West,113,200,88,5
SKU-PC-00006,Sam's Club,SAM-03-003,West,209,272,92,8
SKU-PC-00006,Sam's Club,SAM-02-009,South,134,154,44,3
SKU-PC-00006,Sam's Club,SAM-02-004,South,114,0,158,12
SKU-PC-00006,Sam's Club,SAM-01-006,Midwest,671,788,117,3
SKU-PC-00006,Sam's Club,SAM-03-006,West,470,361,89,7
SKU-PC-00006,Sam's Club,SAM-02-002,South,794,882,90,14
SKU-PC-00006,Sam's Club,SAM-02-006,South,833,956,29,10
SKU-PC-00006,Sam's Club,SAM-02-007,South,220,161,86,10
SKU-PC-00006,Sam's Club,SAM-01-007,Midwest,233,351,74,9
SKU-PC-00006,Sam's Club,SAM-01-001,Midwest,469,600,114,13
SKU-PC-00006,Costco,COST-02-005,South,855,976,75,6
SKU-PC-00006,Costco,COST-01-004,Midwest,141,109,132,5
SKU-PC-00006,Costco,COST-02-003,South,571,754,127,14
SKU-PC-00006,Costco,COST-02-001,South,810,741,85,9
SKU-PC-00006,Costco,COST-03-002,West,206,394,105,12
SKU-PC-00006,Costco,COST-02-004,South,130,58,121,12
SKU-PC-00006,Costco,COST-01-001,Midwest,905,928,148,10
SKU-PC-00006,Costco,COST-03-006,West,200,0,59,13
SKU-PC-00006,Costco,COST-03-003,West,786,712,60,5
SKU-PC-00006,Costco,COST-01-003,Midwest,899,775,93,6
SKU-PC-00006,Costco,COST-02-006,South,755,589,102,10
SKU-PC-00006,Costco,COST-01-002,Midwest,855,633,137,12
SKU-PC-00006,Costco,COST-03-004,West,812,936,28,8
SKU-PC-00006,Costco,COST-01-005,Midwest,91,79,93,10
SKU-PC-00006,Costco,COST-02-002,South,200,327,21,13
SKU-PC-00007,Walmart,WMT-04-002,Northeast,597,362,111,6
SKU-PC-00007,Walmart,WMT-01-013,Midwest,254,435,84,9
SKU-PC-00007,Walmart,WMT-01-003,Midwest,624,621,29,6
SKU-PC-00007,Walmart,WMT-01-006,Midwest,388,384,20,9
SKU-PC-00007,Walmart,WMT-02-005,South,134,30,55,9
SKU-PC-00007,Walmart,WMT-01-009,Midwest,294,304,64,11
SKU-PC-00007,Walmart,WMT-02-007,South,386,375,42,10
SKU-PC-00007,Walmart,WMT-01-012,Midwest,145,0,30,10
SKU-PC-00007,Walmart,WMT-04-001,Northeast,867,590,85,10
SKU-PC-00007,Walmart,WMT-04-003,Northeast,894,855,161,4
SKU-PC-00007,Walmart,WMT-01-002,Midwest,564,379,25,10
SKU-PC-00007,Walmart,WMT-02-011,South,363,447,166,7
SKU-PC-00007,Walmart,WMT-03-004,West,895,887,143,5
SKU-PC-00007,Walmart,WMT-02-002,South,439,369,144,9
SKU-PC-00007,Walmart,WMT-01-008,Midwest,750,879,89,12
SKU-PC-00007,Walmart,WMT-03-011,West,835,816,134,4
SKU-PC-00007,Walmart,WMT-02-001,South,597,399,101,11
SKU-PC-00007,Walmart,WMT-01-001,Midwest,726,919,143,14
SKU-PC-00007,Walmart,WMT-03-006,West,77,80,71,11
SKU-PC-00007,Walmart,WMT-03-009,West,208,55,38,6
SKU-PC-00007,Walmart,WMT-03-015,West,277,468,78,13
SKU-PC-00007,Walmart,WMT-03-013,West,395,565,91,12
SKU-PC-00007,Walmart,WMT-01-015,Midwest,603,401,84,13
SKU-PC-00007,Walmart,WMT-03-014,West,612,385,169,13
SKU-PC-00007,Walmart,WMT-03-005,West,337,312,23,9
SKU-PC-00007,Walmart,WMT-02-012,South,735,643,49,10
SKU-PC-00007,Walmart,WMT-02-010,South,128,0,157,6
SKU-PC-00007,Walmart,WMT-02-015,South,478,586,83,10
SKU-PC-00007,Walmart,WMT-02-003,South,807,565,152,6
SKU-PC-00007,Walmart,WMT-02-013,South,647,847,82,5
SKU-PC-00007,Sam's Club,SAM-01-005,Midwest,597,573,38,13
SKU-PC-00007,Sam's Club,SAM-01-004,Midwest,422,283,91,5
SKU-PC-00007,Sam's Club,SAM-01-007,Midwest,606,485,69,8
SKU-PC-00007,Sam's Club,SAM-01-010,Midwest,761,633,55,3
SKU-PC-00007,Sam's Club,SAM-02-010,South,842,905,67,7
SKU-PC-00007,Sam's Club,SAM-02-002,South,259,0,84,10
SKU-PC-00007,Sam's Club,SAM-02-005,South,178,136,69,6
SKU-PC-00007,Sam's Club,SAM-03-004,West,251,381,135,5
SKU-PC-00007,Sam's Club,SAM-01-002,Midwest,171,363,144,10
SKU-PC-00007,Sam's Club,SAM-01-003,Midwest,127,0,20,5
SKU-PC-00007,Sam's Club,SAM-02-001,South,780,964,152,13
SKU-PC-00007,Sam's Club,SAM-03-002,West,160,41,121,9
